sos_system,sos_category,legacy_densho_id,facility_name,encyc_url,encyc_article_status,date_opened,date_closed,location_description,legacy_description,peak_population,peak_popdate,peak population all internees,location_name,location_state,geo_latitude,geo_longitude,img_credit_line
wra,Temporary Assembly Center,11,Puyallup (Camp Harmony),https://encyclopedia.densho.org/Puyallup_(detention_facility)/,published,"April 28, 1942","September 12, 1942","The Puyallup Assembly Center was built on a fairground about thirty-five miles south of Seattle and served as the short-term incarceration site for nearly all Japanese Americans from Seattle, along with smaller numbers from Pierce County, Washington, and from Alaska. With a peak population of 7,390, it was the third most populous of the dedicated assembly center. Due to the geography of the site, Puyallup was divided into four areas. Areas A, B, and C were built on fairground parking lots, while Area D was built on the fairgrounds itself. The areas were non-contiguous, separated by city streets, meaning that inmates could not easily go from one area to another. This introduced greater difficulties in planning for recreational, religious, or other types of activities. Nearly all of Puyallup's inmate population went on to the Minidoka, Idaho, concentration camp. The camp was in operation for 139 days, from April 27 to September 12, 1942.","Located on the Western Washington State Fairgrounds, 35 miles south of Seattle, Washington.",7390,1942-07-25,7390,"Puyallup, Washington",Washington,47.18424456634575,-122.2939900230675,"Courtesy of Library of Congress Prints & Photographs Division, LC-USZ6-1654. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i217-00021-1/"
wra,Temporary Assembly Center,12,Portland,https://encyclopedia.densho.org/Portland_(detention_facility)/,published,"May 2, 1942","September 10, 1942","The Portland Assembly Center was located on the site of the Pacific International Livestock Exposition Pavilion in North Portland, essentially a series of interconnected buildings under one roof that had been used to house and showcase livestock prior to the war. Inmates there faced extreme heat, fly infestations, foul odors, and extreme crowding even by ""assembly center"" standards. The nearly 3,700 inmates there mostly came from the Portland area and from much of the rest of Oregon with the exception of Hood River and from the Yakima Valley in Washington, a mixture of urban and rural populations. Open for a little over four months, it had one of the more active inmate organizations, ranging from an advisory council that met regularly with camp managers and relatively extensive recreation and education programs. A good number of Portland inmates left the camp for a time to work the eastern Oregon sugar beet fields, presaging the many who would do so from WRA camps in the fall. At the end, Washingtonians were mostly sent to Heart Mountain, while Oregonians went to Minidoka; many inmates who had grown close to other inmates in the camp protested this arrangement, asking in vain to be sent to the same camp.","Located at the eleven-acre Pacific International Livestock Exposition Pavilion in Portland, Oregon.",3676,1942-06-06,3676,"Portland, Oregon",Oregon,45.60688989752562,-122.6898138969299,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00007-1/
wra,Temporary Assembly Center,13,Marysville,https://encyclopedia.densho.org/Marysville_(detention_facility)/,published,"May 8, 1942","June 29, 1942","The Marysville Assembly Center—also known as ""Arboga""—was built on a migrant worker camp about five miles southeast of Marysville. The least populous "" assembly center "" other than Meyer, Arizona , Marysville had a peak population of just 2,451. Its population came almost entirely from two nearby and mostly rural areas: Placer County, just southeast of Marysville, and Florin, a notable Japanese American agricultural community south of Sacramento. Open for a total of just fifty-three days in May and June of 1942, Marysville had relatively limited recreational programs and no schools to speak of, along with some of the worst physical conditions of any assembly center: heat and humidity, a serious mosquito problem, and unpartitioned pit toilets, among other things. Essentially the entire population of the camp was transferred to Tule Lake in the last week of June.","Located about 8 miles south of Marysville, California. Late spring rains delayed the camp's opening from the slated date of April 16, 1942.",2451,1942-06-02,2451,"Marysville, California",California,39.04751108975582,-121.5712148555736,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00002-1/
wra,Temporary Assembly Center,14,Sacramento (Walerga),https://encyclopedia.densho.org/Sacramento_(detention_facility)/,published,"May 6, 1942","June 26, 1942","Open for just fifty-two days—but with most inmates spending only around a month there—the Sacramento Assembly Center had the shortest lifespan of any "" assembly center "" other than Mayer , Arizona. The inmate population that peaked at 4,739 came almost entirely from the Sacramento area, and conflicts and discord within that community came into the camp, where discord between the appointed inmate leadership and the general population emerged. Inmates also faced particularly poor conditions including pit latrines and buildings that were misshapen due to the uneven ground and poor construction, as well as a camp that was largely unfinished as inmates moved in. Essentially the entire population of the camp—which was also known as ""Walerga""—was transferred to Tule Lake by the end of June 1942.","Located 15 miles northeast of downtown Sacramento, California.",4739,1942-05-30,4739,"Sacramento, California",California,38.66844828776156,-121.3511131107349,"Courtesy of the National Archives and Records Administration, Ctrl. #: NWDNS-210-G-C483, NARA ARC #: 537796, WRA, Photographer Dorothea Lange. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i151-00027-1/"
wra,Temporary Assembly Center,15,Tanforan,https://encyclopedia.densho.org/Tanforan_(detention_facility)/,published,"April 28, 1942","October 13, 1942","The Tanforan Assembly Center was located on the site of the Tanforan Racetrack in San Bruno, California. It was the second largest of the temporary WCCA camps, located 20 miles south of San Francisco, near the San Francisco International Airport. The camp was occupied from April 28 to October 13, 1942, a total of 171 days. Holding Japanese Americans mostly from the San Francisco Bay Area, its peak population was 7,816. All in all, 8,033 Americans of Japanese ancestry were incarcerated at Tanforan, 64 per cent of whom were U.S. citizens. About half of the inmates lived in former horse stalls. 98 per cent of the 7,824 Japanese Americans in Tanforan who were transferred to ""relocation centers"" were sent to the Central Utah WRA camp also known as Topaz. The site was subsequently used as a training camp by the VII Army Corps. A shopping center sits on the site today, a small historical marker commemorating its World War II history.","Located 12 miles south of San Francisco, California.",7816,1942-07-25,7816,"San Bruno, California",California,37.63639350072774,-122.4178663033512,"Courtesy of WRA no. C-141, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-tanforan-3/"
wra,Temporary Assembly Center,16,Stockton,https://encyclopedia.densho.org/Stockton_(detention_facility)/,published,"May 10, 1942","October 17, 1942","The Stockton Assembly Center was built on the site of the San Joaquin County Fairgrounds southeast of downtown Stockton. Inmates lived in newly constructed barracks located both within the fairgrounds racetrack and adjacent to it. Nearly its entire inmate population came from Stockton, Lodi and surrounding farming areas in San Joaquin County. The first advance inmate groups arrived on May 10, 1942, and the camp's peak population of 4,271 was reached just eleven days later. The camp remained in operation for over five months, making it one of the longest running of the assembly centers and resulting in a relatively more robust inmate-run educational program. Essentially the entire population of Stockton went to Rohwer , with a small number of tuberculosis patients and their families going instead to Gila River .","Located at the San Joaquin County Fairgrounds in Stockton, California.",4271,1942-05-21,4271,"Stockton, California",California,37.93729616824986,-121.267282529392,"Courtesy of WRA no. C-395, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-stockton-1/"
wra,Temporary Assembly Center,17,Turlock,https://encyclopedia.densho.org/Turlock_(detention_facility)/,published,"April 30, 1942","August 12, 1942","The Turlock Assembly Center had the third smallest peak population among "" assembly centers ,"" at 3,662 and was open for 105 days, from April 30 to August 12, 1942. Built on the site of the Stanislaus County Fairgrounds in Turlock, its inmate population was one of the most diverse of any ""assembly center"" and mostly consisted of people who had to travel a substantial distance to get there. The main population groups included contingents from Vacaville and other parts of Solano County, the San Francisco Bay Area (particularly the East Bay), Little Tokyo in Los Angeles, and Walnut Grove. The entire population eventually transferred to the Gila River , Arizona, War Relocation Authority concentration camp. Still the site of the fairgrounds, a small historical marker and two storyboards memorialize the site today.","Located in the town of Turlock, California.",3661,1942-06-02,3661,"Turlock, California",California,37.50179351452003,-120.858163760034,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00013-1/
wra,Temporary Assembly Center,18,Salinas,https://encyclopedia.densho.org/Salinas_(detention_facility)/,published,"April 27, 1942","July 4, 1942","The Salinas Assembly Center was located at the Salinas Race Track and Fair Grounds at the north end of Salinas. The third least populous of the "" assembly centers "" with a peak population of 3,594, its inmate population consisted almost entirely of Japanese Americans from nearby agricultural communities including Watsonville, Salinas, and Gilroy. Despite being open for a short sixty-nine days (April 27 to July 4, 1942), it had an active community government under camp manager E. A. Rose and many recreational and educational programs. Nearly the entire population of the camp was transferred on to Poston between June 28 and July 4, 1942.","Located at the north end of the town of Salinas, California.",3586,1942-06-23,3586,"Salinas, California",California,36.69115184830009,-121.651304132748,"Courtesy of WRA no. C-68, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-salinas-1/Courtesy of WRA no. C-68, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley"
wra,Temporary Assembly Center,19,Merced,https://encyclopedia.densho.org/Merced_(detention_facility)/,published,"May 6, 1942","September 15, 1942","The Merced Assembly Center, built on the Merced County Fairgrounds property, was populated from May 6 to September 15, 1942, a total of 133 days, and had a peak population of 4,508, making it near the median among "" assembly centers "" in both categories. The inmates came mostly from rural areas and small towns in Central California as well as north coastal areas above San Francisco. They were housed in just under two hundred hastily built barracks east of the racetrack. As with other Central California assembly centers, inmates battled intense heat and insects as well the usual cramped quarters, lines, and lack of privacy. Essentially the entire population went to the Amache , Colorado, concentration camp in September. A memorial dedicated in 2010 stands at the site of the camp today.",Located in California's central San Joaquin Valley within the town of Merced at the county fairgrounds; the buildings were sited south of the fairgrounds proper.,4508,1942-06-03,4508,"Merced, California",California,37.2922985835873,-120.4815394613918,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i247-00001-1/
wra,Temporary Assembly Center,20,Pinedale,https://encyclopedia.densho.org/Pinedale_(detention_facility)/,published,"May 7, 1942","July 23, 1942","Pinedale Assembly Center was located in Fresno, California, eight miles north of downtown and just twelve miles from the Fresno Assembly Center . Pinedale was somewhat unique among assembly centers in that most of its population came from far away. Most came from Washington state; nearly all of the Japanese Americans removed from the western part of the state except for those from the city of Seattle came to Pinedale, along with the population of Hood River, Oregon. The remainder of the population, about 15%, came from the Sacramento area. Medium sized among assembly centers with a peak population of around 4,800, Pinedale was operational for a short 78 days, from May 7 to July 23. As such, it was relatively limited in the scope of its institutions, in particular having very limited educational programs and medical facilities. It was also unusual for an assembly center in that all of the buildings for it were newly constructed, as it did not make use of any existing facilities. The summer heat was a major issue among inmates, particularly since its population mostly came from the much cooler Pacific Northwest. For the most part, the Pacific Northwest people were subsequently sent to Tule Lake , while the California people went to Poston .","Located 8 miles north of downtown Fresno, California.",4792,1942-06-29,4792,"Pinedale, California",California,36.84437735635104,-119.8044273763797,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00005-1/
wra,Temporary Assembly Center,21,Fresno,https://encyclopedia.densho.org/Fresno_(detention_facility)/,published,"May 6, 1942","October 30, 1942","The Fresno Assembly Center, built on the site of the Fresno County Fairgrounds just east of downtown Fresno, was populated from May 6 to October 30, a total of 177 days, making it one of the longest running assembly centers and the last to close. Its population came almost entirely from the Central Valley, including the city and county of Fresno as well as Kings County, Tulare County and part of the Florin/Elk Grove community south of Sacramento. Medium sized among assembly centers in population with a peak of 5,120, it was located only about twelve miles from the Pinedale Assembly Center . Nearly its entire population was transferred to the Jerome , Arkansas WRA concentration camp.",Located at the Fresno County Fairgrounds in central California.,5120,1942-09-04,5120,"Fresno, California",California,36.73338487706776,-119.7472619407948,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00001-1/
wra,Temporary Assembly Center,22,Tulare,https://encyclopedia.densho.org/Tulare_(detention_facility)/,published,"April 20, 1942","September 4, 1942","Tulare was a temporary detention camp, located in the Southern San Joaquin Valley, half-way between Fresno and Bakersfield, on the outskirts of the city of Tulare (pop. 10,000). It was built on grounds formerly used by the Tulare-Kings County Fair. The camp was occupied from April 27 to September 4, 1942, a total of 131 days. It housed 5,061 Nikkei (with a maximum at one time of 4,978), mostly from the coastal counties north of Los Angeles. There were about 100 barracks within the fairgrounds and another 55 barracks to the south of the fairgrounds adjacent to the county hospital. After spending about four months in the camp most Nikkei were deported to the Gila River camp in Southern Arizona. The grounds were thereafter occupied by African American soldiers of the 7th Army Corps.",Located in the southern San Joaquin Valley of California.,4978,1942-08-11,4978,"Tulare, California",California,36.19893740683506,-119.3420855382406,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00012-1/
wra,Temporary Assembly Center,23,Santa Anita,https://encyclopedia.densho.org/Santa_Anita_(detention_facility)/,published,"March 27, 1942","October 27, 1942","Located at the Santa Anita Racetrack in the city of Arcadia, approximately thirteen miles northeast of downtown Los Angeles and twenty miles west of the Pomona Assembly Center , Santa Anita was occupied from March 27 until October 27, 1942, a total of 215 days. Santa Anita was the largest and the longest-occupied of the temporary WCCA camps. Its peak population was 18,719. Over 8,500 Japanese Americans lived in converted horse stalls at the racetrack. It was the only WCCA camp to run a camouflage net factory , operated under military contract. The majority of Santa Anita's inmates were eventually transferred to Heart Mountain , Rohwer , Amache , and Jerome .","Located at the world-famous Santa Anita Racetrack in Arcadia, California.",18719,1942-08-23,18719,"Arcadia, California",California,34.14056064351376,-118.0444206861681,"Courtesy of WRA no. -407, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-santaanita-1/"
